titulo,descripcion,condiciones,precio,color,disponible,imagen_url,ubicacion,reputacion,antiguedad_vendedor,ventas_concretadas,url
Laptop Dell Para Repuesto Inspirion 3521,"El laptop se le daño la tarjeta madre sin disco ni memoria por partes o completo como quieran estamos a su orden dell inspirion 3521 tiene su cargador,teclado,bateria pantalla 15.6 pregunte",Usado,18.000.000,,,https://http2.mlstatic.com/laptop-dell-para-repuesto-inspirion-3521-D_NQ_NP_814265-MLV42257232133_062020-F.webp,"Mario Briceño Iragorry (El Limón), Aragua",100%,13 Años,21,https://articulo.mercadolibre.com.ve/MLV-562906245-laptop-dell-para-repuesto-inspirion-3521-_JM
Repuestos Laptop Dell Inspiron N4010,Pregunte por el repuesto que necesite,Usado,4.000.000,Gris,,https://http2.mlstatic.com/repuestos-laptop-dell-inspiron-n4010-D_NQ_NP_819604-MLV41232063922_032020-F.webp,"Mun. Libertador (Suroeste), Distrito Capital",100%,4 Meses,12,https://articulo.mercadolibre.com.ve/MLV-558742459-repuestos-laptop-dell-inspiron-n4010-_JM?searchVariation=54990691402
Laptop Dell Vostro 5490 I7-10510 14 8gb 256gb Ssd Win10pro,BEACON 212 - Los Cortijos,,376.145.000,Negro,,https://http2.mlstatic.com/laptop-dell-vostro-5490-i7-10510-14-8gb-256gb-ssd-win10pro-D_NQ_NP_846026-MLV42165387523_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561983605-laptop-dell-vostro-5490-i7-10510-14-8gb-256gb-ssd-win10pro-_JM?searchVariation=57343202782
Laptop Dell Inspiron 5520 (repuesto),Laptop Dell 5520 (para repuesto),Usado,2.000.000,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-5520-repuesto-D_NQ_NP_672268-MLV42247815478_062020-F.webp,"Libertador, Distrito Capital",100%,13 Años,123,https://articulo.mercadolibre.com.ve/MLV-562862350-laptop-dell-inspiron-5520-repuesto-_JM?searchVariation=58229481091
Laptop Dell Inspiron 5391 I7 256gb 8gb 13.3 Mx250 2gb W10,BEACON 212 - Los Cortijos,,396.604.700,Gris,,https://http2.mlstatic.com/laptop-dell-inspiron-5391-i7-256gb-8gb-133-mx250-2gb-w10-D_NQ_NP_676733-MLV42166593288_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561982204-laptop-dell-inspiron-5391-i7-256gb-8gb-133-mx250-2gb-w10-_JM?searchVariation=57341714789
Laptop Dell Inspiron 3583 15.6 I7-8565u 8gb Ddr4 1tb W10,Somos technostore_ve siganos para obtener beneficios por este y otros productos.,Nuevo,216.300.000,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-3583-156-i7-8565u-8gb-ddr4-1tb-w10-D_NQ_NP_821625-MLV42496246983_072020-F.webp,"Mun. Libertador (Centro), Distrito Capital",100%,8 Años,29,https://articulo.mercadolibre.com.ve/MLV-561197142-laptop-dell-inspiron-3583-156-i7-8565u-8gb-ddr4-1tb-w10-_JM?searchVariation=56520935156
Lapto Dell Inspiron 3481 Silver 14 4gb Dd 1tb,***IMPORTANTE***,Nuevo,4.300.000,Gris,,https://http2.mlstatic.com/lapto-dell-inspiron-3481-silver-14-4gb-dd-1tb-D_NQ_NP_703956-MLV42045356932_062020-F.webp,"Girardot (Maracay), Aragua",100%,1 Mes,24,https://articulo.mercadolibre.com.ve/MLV-561839921-lapto-dell-inspiron-3481-silver-14-4gb-dd-1tb-_JM?searchVariation=57197487577
Laptop Dell Inspiron 1100 Con Detalle. Precio De Regalo,******** CONSULTE PRECIO Y DISPONIBILIDAD ANTES DE OFERTAR*********,Usado,20.000.000,Azul,,https://http2.mlstatic.com/laptop-dell-inspiron-1100-con-detalle-precio-de-regalo-D_NQ_NP_666926-MLV26411237439_112017-F.webp,"Mun. Libertador (Suroeste), Distrito Capital",100%,10 Años,169,https://articulo.mercadolibre.com.ve/MLV-504766868-laptop-dell-inspiron-1100-con-detalle-precio-de-regalo-_JM?searchVariation=38875446342
Laptop Dell,Dell Inspiron de 15.6 pulgadas con camara,Usado,500.000,Negro,,https://http2.mlstatic.com/laptop-dell-D_NQ_NP_637319-MLV33014003264_112019-F.webp,"caracas, Distrito Capital",100%,13 Años,77,https://articulo.mercadolibre.com.ve/MLV-551842239-laptop-dell-_JM?searchVariation=47063188936
"Laptop Dell I5, Tactil, 8gb Ram,256 Ssd","GRACIAS POR PREFERIRNOS, SOMOS CARRECEL SU TIENDA EN LA WEB",Nuevo,170.660.000,Negro,,https://http2.mlstatic.com/laptop-dell-i5-tactil-8gb-ram256-ssd-D_NQ_NP_963207-MLV41873762487_052020-F.webp,"Mun. Sucre (este), Distrito Capital",100%,16 Años,557,https://articulo.mercadolibre.com.ve/MLV-560995277-laptop-dell-i5-tactil-8gb-ram256-ssd-_JM?searchVariation=56259186352
Laptop Dell 1525,onhndr-fty,Usado,5.000.150,Negro,,https://http2.mlstatic.com/laptop-dell-1525-D_NQ_NP_922784-MLV32800893796_112019-F.webp,"Lechería, Anzoátegui",100%,7 Años,530,https://articulo.mercadolibre.com.ve/MLV-563265357-laptop-dell-1525-_JM?searchVariation=58653088384
Laptop Refurbished Varios Modelos Y Marcas,Somos Distribuidores de Laptops Reburbished.,Usado - 1 vendido,52.500.000,,,https://http2.mlstatic.com/laptop-refurbished-varios-modelos-y-marcas-D_NQ_NP_684039-MLV42038660902_062020-F.webp,"Mun. Libertador (Centro), Distrito Capital",,,,https://articulo.mercadolibre.com.ve/MLV-561804933-laptop-refurbished-varios-modelos-y-marcas-_JM
Laptop Dell Inspiron 15 6 Inspiron153583 8gb Tienda Fisica,"BIENVENIDO A VENELECTRONICS ALTAMIRA Y FLORESTA, SOMOS TIENDA FISICA",1 vendido,160.544.000,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-15-6-inspiron153583-8gb-tienda-fisica-D_NQ_NP_791775-MLV41027216254_032020-F.webp,,,,,https://articulo.mercadolibre.com.ve/MLV-558000935-laptop-dell-inspiron-15-6-inspiron153583-8gb-tienda-fisica-_JM?searchVariation=51839117581
Laptop Dell Inspiron 5593 I7 15.6 8gb 256gb Ssd Mx230 W10h,BEACON 212 - Los Cortijos,,374.571.800,Gris,,https://http2.mlstatic.com/laptop-dell-inspiron-5593-i7-156-8gb-256gb-ssd-mx230-w10h-D_NQ_NP_994190-MLV42166460424_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561980800-laptop-dell-inspiron-5593-i7-156-8gb-256gb-ssd-mx230-w10h-_JM?searchVariation=57340247344
Laptop Dell Inspiron 1300 Disco Duro Programas Nuevos Barata,"- Si la publicación está activa, el artículo está disponible.",Usado - 1 vendido,80.000.000,,,https://http2.mlstatic.com/laptop-dell-inspiron-1300-disco-duro-programas-nuevos-barata-D_NQ_NP_841370-MLV30093454231_042019-F.webp,"Mun. El Hatillo (norte), Distrito Capital",,,,https://articulo.mercadolibre.com.ve/MLV-553547296-laptop-dell-inspiron-1300-disco-duro-programas-nuevos-barata-_JM
Laptop Dell Inspiron 14 Modelo 3451 Nuevo Laschimeneas,mayor y detal,Nuevo,72.450.999,Negro,,https://http2.mlstatic.com/laptop-dell-inspiron-14-modelo-3451-nuevo-laschimeneas-D_NQ_NP_920247-MLV42455701760_072020-F.webp,"C.C. LAS CHIMENEAS VALENCIA, Carabobo",99%,8 Años,979,https://articulo.mercadolibre.com.ve/MLV-563854126-laptop-dell-inspiron-14-modelo-3451-nuevo-laschimeneas-_JM?searchVariation=59198298288
Laptop Dell Latitude E6430 14 Core I5 8gb Ram 320gb Hdd,"Equipo usado, en perfecto estado de funcionamiento y estetico.",Usado - 1 vendido,58.117.500,Gris,,https://http2.mlstatic.com/laptop-dell-latitude-e6430-14-core-i5-8gb-ram-320gb-hdd-D_NQ_NP_618686-MLV42031432730_062020-F.webp,"Mun. Libertador (Oeste), Distrito Capital",99%,4 Años,289,https://articulo.mercadolibre.com.ve/MLV-564269627-laptop-dell-latitude-e6430-14-core-i5-8gb-ram-320gb-hdd-_JM?searchVariation=59627162905
Laptop Dell Xps 7390/2en1/ci7/16gb/512gb Ssd/13.4fhd/táctil,"Somos ZETTA, único Partner Titanium de Dell Technologies en Venezuela.",1 vendido,477.020.000,Gris,,https://http2.mlstatic.com/laptop-dell-xps-73902en1ci716gb512gb-ssd134fhdtactil-D_NQ_NP_741784-MLV42045805143_062020-F.webp,,,,,https://articulo.mercadolibre.com.ve/MLV-561841612-laptop-dell-xps-73902en1ci716gb512gb-ssd134fhdtactil-_JM?searchVariation=57198545838
Laptop Dell Gaming G3 15 I5 8gb 256ssd Gtx1050 3gb 15.6 W10,BEACON 212 - Los Cortijos,,344.668.300,Blanco,,https://http2.mlstatic.com/laptop-dell-gaming-g3-15-i5-8gb-256ssd-gtx1050-3gb-156-w10-D_NQ_NP_606646-MLV42166354584_062020-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-561984375-laptop-dell-gaming-g3-15-i5-8gb-256ssd-gtx1050-3gb-156-w10-_JM?searchVariation=57344292842
Laptop Dell I5 7ma,"Laptop del 16 gb de ram 500 de disco duro i5 de 7ma generacion win 10 pro original no crakeado, antivirus mcafee licencia original 1 año , a 550 verdosos",Usado,550.000,Negro,,https://http2.mlstatic.com/laptop-dell-i5-7ma-D_NQ_NP_633257-MLV40903178636_022020-F.webp,"Valencia (Valencia), Carabobo",99%,11 Años,202,https://articulo.mercadolibre.com.ve/MLV-558454421-laptop-dell-i5-7ma-_JM?searchVariation=52408767846
Repuestos Laptop Dell 1018,Pregunte por el repuesto que busca.,Usado - 1 vendido,1.300.000,,,https://http2.mlstatic.com/repuestos-laptop-dell-1018-D_NQ_NP_926545-MLV42304433279_062020-F.webp,"Pto. Ordaz, Bolívar",,,,https://articulo.mercadolibre.com.ve/MLV-563100381-repuestos-laptop-dell-1018-_JM
Laptop Dell 3493 I5 10ma Generación 8 Ram 1tb Hdd + 128 Ssd,"Laptop Dell Inspiron14 3493 /Intel CORE i5-1035G4 3.7GHz /8GB RAM /SSD M.2 128GB/ 1000 HDD /14"" HD /Windows 10",Nuevo,70.000.000,Negro,,https://http2.mlstatic.com/laptop-dell-3493-i5-10ma-generacion-8-ram-1tb-hdd-128-ssd-D_NQ_NP_885659-MLV42362679820_062020-F.webp,"Mun. Libertador (Centro), Distrito Capital",100%,4 Años,22,https://articulo.mercadolibre.com.ve/MLV-562829016-laptop-dell-3493-i5-10ma-generacion-8-ram-1tb-hdd-128-ssd-_JM?searchVariation=58198597756
Minilaptop Mini Laptop Dell,"MINILAPTOP DELL USADA, TOTALMENTE FUNCIONAL. DETALLE SOLO DE BATERIA, DEBE ESTAR CONECTADA A LA CORRIENTE. DEL RESTO TRABAJA MUY BIEN.",Usado,12.000.000,Gris,,https://http2.mlstatic.com/minilaptop-mini-laptop-dell-D_NQ_NP_728214-MLV41106076040_032020-F.webp,"Girardot (Maracay), Aragua",96%,1 Año,15,https://articulo.mercadolibre.com.ve/MLV-558380567-minilaptop-mini-laptop-dell-_JM?searchVariation=52327810373
Laptop Marca Dell,Cualquier dato de la laptop pregunte si esta interesado,Usado,25.000.000,Negro,,https://http2.mlstatic.com/laptop-marca-dell-D_NQ_NP_747547-MLV42079612287_062020-F.webp,"Cabudare, Lara",100%,4 Años,7,https://articulo.mercadolibre.com.ve/MLV-561953400-laptop-marca-dell-_JM?searchVariation=57297127223
Laptop Dell E5440 Intel Core I5-4310u 2.00ghz 4gb 500gb 14,Importante:,Nuevo,96.800.000,Gris,,https://http2.mlstatic.com/laptop-dell-e5440-intel-core-i5-4310u-200ghz-4gb-500gb-14-D_NQ_NP_802260-MLV40936172997_022020-F.webp,"Barquisimeto, Lara",100%,11 Años,162,https://articulo.mercadolibre.com.ve/MLV-557436994-laptop-dell-e5440-intel-core-i5-4310u-200ghz-4gb-500gb-14-_JM?searchVariation=51407210768
Laptop Dell Latitude E6420 Cpu Core I7 Memoria De 16gb W10,_____ PETER DRAGON IMPORTS _____ DIVISION DE ELECTRONIKA ______,Usado,112.000.000,Gris,,https://http2.mlstatic.com/laptop-dell-latitude-e6420-cpu-core-i7-memoria-de-16gb-w10-D_NQ_NP_794410-MLV41954611601_052020-F.webp,"San Antonio, Miranda",99%,4 Años,79,https://articulo.mercadolibre.com.ve/MLV-561314199-laptop-dell-latitude-e6420-cpu-core-i7-memoria-de-16gb-w10-_JM?searchVariation=56695619686
Mini Laptop Dell Inspiron 910 Repuestos Dtb,*EL DOCTOR DE LAS COMPUTADORAS BARQUISIMETO*,Usado - 10 vendidos,2.000.000,,,https://http2.mlstatic.com/mini-laptop-dell-inspiron-910-repuestos-dtb-D_NQ_NP_882858-MLV26507018426_122017-F.webp,"Iribarren, Lara",100%,11 Años,323,https://articulo.mercadolibre.com.ve/MLV-525815277-mini-laptop-dell-inspiron-910-repuestos-dtb-_JM
Laptop Dell Latitude 5590 15.6 Intel I7 Ram 8gb Disco 500gb,**** POR FAVOR LEA BIEN LA PUBLICACIÓN ANTES DE COMPRAR *******,Nuevo - 2 vendidos,176.000.000,Negro,,https://http2.mlstatic.com/laptop-dell-latitude-5590-156-intel-i7-ram-8gb-disco-500gb-D_NQ_NP_890063-MLV41926665854_052020-F.webp,"Maturin, Monagas",98%,13 Años,174,https://articulo.mercadolibre.com.ve/MLV-561246173-laptop-dell-latitude-5590-156-intel-i7-ram-8gb-disco-500gb-_JM?searchVariation=56584860843
Laptop Dell Latitudes 5490,Laptop Dell Latitude 5490,Nuevo - 1 vendido,123.900.000,Negro,,https://http2.mlstatic.com/laptop-dell-latitudes-5490-D_NQ_NP_675714-MLV31442156877_072019-F.webp,"San Joaquín (San Joaquín), Carabobo",100%,4 Años,113,https://articulo.mercadolibre.com.ve/MLV-543080925-laptop-dell-latitudes-5490-_JM?searchVariation=40442750502
Laptop Dell Latitude 3490 14 Core I5 4 Gb 1 Tb Win 10 Pro,Beacon 212 - Los Cortijos.,5 vendidos,247.486.700,Negro,,https://http2.mlstatic.com/laptop-dell-latitude-3490-14-core-i5-4-gb-1-tb-win-10-pro-D_NQ_NP_806532-MLV31370715665_072019-F.webp,,100%,3 Años,3512,https://articulo.mercadolibre.com.ve/MLV-535090916-laptop-dell-latitude-3490-14-core-i5-4-gb-1-tb-win-10-pro-_JM?searchVariation=38604969226
Laptop Dell I5 4ta Gen 8gb Ram 128gbssd+500gb Hdd 14 Renew,Equipos Renovados clase A como nuevos,Nuevo - 1 vendido,"99.995.143,76",Gris,,https://http2.mlstatic.com/laptop-dell-i5-4ta-gen-8gb-ram-128gbssd-500gb-hdd-14-renew-D_NQ_NP_722354-MLV42193255183_062020-F.webp,"Carrizal, Miranda",99%,1 Año,409,https://articulo.mercadolibre.com.ve/MLV-562552260-laptop-dell-i5-4ta-gen-8gb-ram-128gbssd500gb-hdd-14-renew-_JM?searchVariation=57953398372
Laptop Inspiron 15 3583 8gb Ram Somos Tienda Fisica,"BIENVENIDO A VENELECTRONICS LAS MERCEDES, SOMOS TIENDA FISICA",2 vendidos,160.544.000,Negro,,https://http2.mlstatic.com/laptop-inspiron-15-3583-8gb-ram-somos-tienda-fisica-D_NQ_NP_920047-MLV40173917690_122019-F.webp,,,,,https://articulo.mercadolibre.com.ve/MLV-553153762-laptop-inspiron-15-3583-8gb-ram-somos-tienda-fisica-_JM?searchVariation=48209206356
